year_since_draft,metric_value,metric_percentile,prob_year3_decision,prob_year4_decision,prob_year5_decision,r_channel,g_channel,b_channel,rgb_color_hex
5,3575.665465217107,63.2887189292543,0.7432820391964435,0.7432820391964435,0.7432820391964435,189,189,189,#bdbdbd
5,3684.0189641630795,65.20076481835564,0.7713696485398895,0.7713696485398895,0.7713696485398895,196,196,196,#c4c4c4
5,3792.3724631090527,67.11281070745697,0.7972225587935773,0.7972225587935773,0.7972225587935773,203,203,203,#cbcbcb
5,3900.7259620550253,69.98087954110899,0.8318044887175414,0.8318044887175414,0.8318044887175414,212,212,212,#d4d4d4
5,4009.0794610009984,73.23135755258126,0.8651230190039453,0.8651230190039453,0.8651230190039453,220,220,220,#dcdcdc
5,4117.432959946971,76.8642447418738,0.8955883464475942,0.8955883464475942,0.8955883464475942,228,228,228,#e4e4e4
5,4225.786458892944,78.77629063097514,0.9090510795450434,0.9090510795450434,0.9090510795450434,231,231,231,#e7e7e7
5,4334.139957838917,82.02676864244742,0.9283849682984531,0.9283849682984531,0.9283849682984531,236,236,236,#ececec
5,4442.49345678489,85.08604206500956,0.9430466567516352,0.9430466567516352,0.9430466567516352,240,240,240,#f0f0f0
5,4550.846955730863,87.76290630975143,0.9535153115204316,0.9535153115204316,0.9535153115204316,243,243,243,#f3f3f3
5,4659.200454676836,89.67495219885276,0.9598438949102632,0.9598438949102632,0.9598438949102632,244,244,244,#f4f4f4
5,4767.553953622809,92.1606118546845,0.9668451375235346,0.9668451375235346,0.9668451375235346,246,246,246,#f6f6f6
5,4875.907452568782,94.45506692160612,0.9722507613875682,0.9722507613875682,0.9722507613875682,247,247,247,#f7f7f7
5,4984.260951514755,96.36711281070745,0.9760925906735946,0.9760925906735946,0.9760925906735946,248,248,248,#f8f8f8
5,5092.614450460727,96.94072657743786,0.9771403763150786,0.9771403763150786,0.9771403763150786,249,249,249,#f9f9f9
5,5200.9679494067,98.27915869980879,0.9794137882040624,0.9794137882040624,0.9794137882040624,249,249,249,#f9f9f9
5,5309.3214483526735,98.8527724665392,0.9803189512209942,0.9803189512209942,0.9803189512209942,249,249,249,#f9f9f9
6,0.0,1.5296367112810707,0.02028005115674226,0.02028005115674226,0.02028005115674226,5,5,5,#050505
6,108.35349894597293,6.8833652007648185,0.030788823078176767,0.030788823078176767,0.030788823078176767,7,7,7,#070707
